,College Name,Location,Accreditation,CD Rank,Courses,B.sc Fees,Review,Rating,URL
3072,"Desh Bhagat University - [DBU], Gobindgarh"," Gobindgarh, Punjab","NCTE, DCI, PCI, INC, CCIM Approved",#3073,B.Sc,"₹ 36,000",32,3,/university/25780-desh-bhagat-university-dbu-gobindgarh
3073,"Guru Nanak Dev University - [GNDU], Amritsar"," Amritsar, Punjab",UGC Approved,#3074,B.Sc,"₹ 47,905",903,3,/university/25784-guru-nanak-dev-university-gndu-amritsar
3074,"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University - [DSRRAU], Jodhpur"," Jodhpur, Rajasthan",UGC Approved,#3075,B.Sc,"₹ 45,000",54,4,/university/25804-dr-sarvepalli-radhakrishnan-rajasthan-ayurved-university-dsrrau-jodhpur
3075,"Janardan Rai Nagar Rajasthan Vidyapeeth University - [JRNRVU], Udaipur"," Udaipur, Rajasthan","AICTE, UGC Approved",#3076,B.Sc,"₹ 23,000",40,3,/university/25813-janardan-rai-nagar-rajasthan-vidyapeeth-university-jrnrvu-udaipur
3076,"Jagadguru Ramanand Acharya Rajasthan Sanskrit University - [JRRSU], Jaipur"," Jaipur, Rajasthan",UGC Approved,#3077,B.Sc,"₹ 12,000",28,4,/university/25814-jagadguru-ramanand-acharya-rajasthan-sanskrit-university-jrrsu-jaipur
3077,"Jain Vishva Bharati University, Nagaur"," Nagaur, Rajasthan",UGC Approved,#3078,B.Sc,"₹ 22,000",32,4,/university/25818-jain-vishva-bharati-university-nagaur
3078,"Jodhpur National University - [JNU], Jodhpur"," Jodhpur, Rajasthan","AICTE, PCI, BCI, UGC, AIU Approved",#3079,B.Sc,"₹ 78,000",8,3,/university/25821-jodhpur-national-university-jnu-jodhpur
3079,"Maharaja Ganga Singh University - [MGSU], Bikaner"," Bikaner, Rajasthan",UGC Approved,#3080,B.Sc,"₹ 2,520",202,3,/university/25823-maharaja-ganga-singh-university-mgsu-bikaner
3080,"Maharshi Dayanand Saraswati University, Ajmer"," Ajmer, Rajasthan",Null,#3081,B.Sc,"₹ 7,000",198,3,/university/25825-maharshi-dayanand-saraswati-university-ajmer
3081,"Mohanlal Sukhadia University - [MLSU], Udaipur"," Udaipur, Rajasthan","AICTE, PCI, BCI, UGC Approved",#3082,B.Sc,"₹ 4,510",232,4,/university/25832-mohanlal-sukhadia-university-mlsu-udaipur
3082,"University of Kota - [UOK], Kota"," Kota, Rajasthan",UGC Approved,#3083,B.Sc,"₹ 18,000",58,4,/university/25852-university-of-kota-uok-kota
3083,"Vardhman Mahaveer Open University - [VMOU], Kota"," Kota, Rajasthan",UGC Approved,#3084,B.Sc,"₹ 6,000",20,3,/university/25854-vardhman-mahaveer-open-university-vmou-kota
3084,"Bharathidasan University - [BU], Tiruchirappalli"," Tiruchirappalli, Tamil Nadu",UGC Approved,#3085,B.Sc,"₹ 44,250",768,4,/university/25873-bharathidasan-university-bu-tiruchirappalli
3085,"Central University of Tamil Nadu - [CUTN], Thiruvarur"," Thiruvarur, Tamil Nadu","AICTE, UGC Approved",#3086,B.Sc  + M.Sc Physics,"₹ 23,320",66,3,/university/25874-central-university-of-tamil-nadu-cutn-thiruvarur
3086,"Chennai Mathematical Institute - [CMI], Siruseri"," Siruseri, Tamil Nadu",AICTE Approved,#3087,B.Sc,"₹ 2,50,000",7,4,/university/25875-chennai-mathematical-institute-cmi-siruseri
3087,"Gandhigram Rural Institute - [GRI], Dindigul"," Dindigul, Tamil Nadu",Null,#3088,B.Sc,"₹ 17,570",29,4,/university/25878-gandhigram-rural-institute-gri-dindigul
3088,"Madurai Kamaraj University - [MKU], Madurai"," Madurai, Tamil Nadu",UGC Approved,#3089,B.Sc,"₹ 30,000",761,3,/university/25886-madurai-kamaraj-university-mku-madurai
3089,"Manonmaniam Sundaranar University, Tirunelveli"," Tirunelveli, Tamil Nadu",UGC Approved,#3090,B.Sc,"₹ 7,050",316,3,/university/25887-manonmaniam-sundaranar-university-tirunelveli
3090,"Meenakshi Academy of Higher Education and Research - [MAHER], Chennai"," Chennai, Tamil Nadu",UGC Approved,#3091,B.Sc,"₹ 60,000",28,4,/university/25888-meenakshi-academy-of-higher-education-and-research-maher-chennai
3091,"Periyar University, Salem"," Salem, Tamil Nadu",Null,#3092,B.Sc,"₹ 26,875",348,3,/university/25892-periyar-university-salem
3092,"The Tamil Nadu Dr. M.G.R. Medical University, Chennai"," Chennai, Tamil Nadu",MCI Approved,#3093,B.Sc,--,973,4,/university/25903-the-tamil-nadu-dr-mgr-medical-university-chennai
3093,"Tamil Nadu Open University - [TNOU], Chennai"," Chennai, Tamil Nadu","UGC, DEB Approved",#3094,B.Sc,"₹ 6,550",5,4,/university/25904-tamil-nadu-open-university-tnou-chennai
3094,"Tamil Nadu Physical Education and Sports University - [TNPESU], Chennai"," Chennai, Tamil Nadu",Null,#3095,B.Sc,--,24,3,/university/25905-tamil-nadu-physical-education-and-sports-university-tnpesu-chennai
3095,"Thiruvalluvar University - [TU], Vellore"," Vellore, Tamil Nadu",UGC Approved,#3096,B.Sc,"₹ 10,000",398,3,/university/25909-thiruvalluvar-university-tu-vellore
3096,"Tripura University, West Tripura"," West Tripura, Tripura",Null,#3097,B.Sc (Hons.)  + M.Sc Mathematics,"₹ 49,500",307,3,/university/25917-tripura-university-west-tripura
3097,"University of Allahabad - [AU], Allahabad"," Allahabad, Uttar Pradesh","NCTE, UGC Approved",#3098,B.Sc Mathematics,"₹ 1,100",623,3,/university/25919-university-of-allahabad-au-allahabad
3098,"Bundelkhand University, Jhansi"," Jhansi, Uttar Pradesh","AICTE, UGC Approved",#3099,B.Sc,"₹ 11,050",241,3,/university/25927-bundelkhand-university-jhansi
3099,"Dr Bhim Rao Ambedkar University - [DBRAU], Agra"," Agra, Uttar Pradesh",UGC Approved,#3100,B.Sc,--,362,3,/university/25934-dr-bhim-rao-ambedkar-university-dbrau-agra
3100,"Dr. Ram Manohar Lohia Avadh University - [RMLAU], Ayodhya"," Ayodhya, Uttar Pradesh","AICTE, UGC Approved",#3101,B.Sc,"₹ 23,450",340,3,/university/25935-dr-ram-manohar-lohia-avadh-university-rmlau-ayodhya
3101,"Gautam Buddha University - [GBU], Greater Noida"," Greater Noida, Uttar Pradesh","NCTE, COA, BCI, UGC Approved",#3102,B.Sc,"₹ 78,000",287,4,/university/25942-gautam-buddha-university-gbu-greater-noida
3102,"Khwaja Moinuddin Chishti Language University, Lucknow"," Lucknow, Uttar Pradesh",UGC Approved,#3103,B.Sc,"₹ 60,000",62,3,/university/25954-khwaja-moinuddin-chishti-language-university-lucknow
3103,"Nehru Gram Bharati University - [NGBU], Allahabad"," Allahabad, Uttar Pradesh",Null,#3104,B.Sc,"₹ 4,500",27,4,/university/25963-nehru-gram-bharati-university-ngbu-allahabad
3104,"Purvanchal University / Veer Bahadur Singh Purvanchal University, Jaunpur"," Jaunpur, Uttar Pradesh","AICTE, PCI, UGC Approved",#3105,B.Sc,"₹ 12,474",124,3,/university/25966-purvanchal-university-veer-bahadur-singh-purvanchal-university-jaunpur
3105,"Uttar Pradesh Rajarshi Tandon Open University - [UPRTOU], Allahabad"," Allahabad, Uttar Pradesh","NCTE, RCI, UGC, DEB Approved",#3106,B.Sc,"₹ 8,000",22,4,/university/25979-uttar-pradesh-rajarshi-tandon-open-university-uprtou-allahabad
3106,"All India Institute of Medical Sciences - [AIIMS], Rishikesh"," Rishikesh, Uttarakhand",MCI Approved,#3107,B.Sc Sleep Science,"₹ 45,700",48,4,/university/25980-all-india-institute-of-medical-sciences-aiims-rishikesh
3107,"Dev Sanskriti Vishwavidyalaya - [DSVV], Haridwar"," Haridwar, Uttarakhand","NCTE, UGC Approved",#3108,B.Sc,"₹ 60,000",16,4,/university/25981-dev-sanskriti-vishwavidyalaya-dsvv-haridwar
3108,"Gurukula Kangri Vishwavidyalaya - [GKV], Haridwar"," Haridwar, Uttarakhand","AICTE, PCI, UGC Approved",#3109,B.Sc,"₹ 16,100",210,3,/university/25986-gurukula-kangri-vishwavidyalaya-gkv-haridwar
3109,"Hemwati Nandan Bahuguna Garhwal University, Garhwal"," Garhwal, Uttarakhand","AICTE, PCI, UGC Approved",#3110,B.Sc Forestry,"₹ 8,570",782,3,/university/25987-hemwati-nandan-bahuguna-garhwal-university-garhwal
3110,"Himalayan Institute Hospital Trust, Dehradun"," Dehradun, Uttarakhand","MCI, UGC Approved",#3111,B.Sc,"₹ 1,06,000",2,4,/college/25988-himalayan-institute-hospital-trust-dehradun
3111,"Kumaun University - DSB Campus, Nainital"," Nainital, Uttarakhand",Null,#3112,B.Sc,"₹ 56,000",185,3,/university/25994-kumaun-university-dsb-campus-nainital
3112,"Kumaun University  SSJ Campus, Almora"," Almora, Uttarakhand",UGC Approved,#3113,B.Sc,"₹ 30,000",14,3,/university/25995-kumaun-university-ssj-campus-almora
3113,"Uttarakhand Open University - [UOU], Nainital"," Nainital, Uttarakhand",Null,#3114,B.Sc,"₹ 12,300",36,3,/university/25998-uttarakhand-open-university-uou-nainital
3114,"Aliah University, Kolkata"," Kolkata, West Bengal","NCTE, AICTE, UGC Approved",#3115,B.Sc,"₹ 14,100",189,3,/university/26002-aliah-university-kolkata
3115,"Netaji Subhas Open University - [NSOU], Kolkata"," Kolkata, West Bengal","UGC, DEB Approved",#3116,B.Sc,"₹ 5,675",29,4,/university/26010-netaji-subhas-open-university-nsou-kolkata
3116,"Ramakrishna Mission Vivekananda University - [RKMVU], Belur"," Belur, West Bengal",UGC Approved,#3117,B.Sc,--,11,4,/university/26013-ramakrishna-mission-vivekananda-university-rkmvu-belur
3117,"University of Burdwan - [BU], Bardhaman"," Bardhaman, West Bengal","AICTE, UGC, AIU Approved",#3118,B.Sc,"₹ 3,760",901,3,/university/26017-university-of-burdwan-bu-bardhaman
3118,"University of Kalyani, Kalyani"," Kalyani, West Bengal","AICTE, UGC Approved",#3119,B.Sc,"₹ 15,310",513,3,/university/26020-university-of-kalyani-kalyani
3119,"Vidyasagar University, Midnapore"," Midnapore, West Bengal",UGC Approved,#3120,B.Sc,--,903,3,/university/26023-vidyasagar-university-midnapore
3120,"Visva-Bharati, Birbhum"," Birbhum, West Bengal",UGC Approved,#3121,B.Sc,"₹ 6,730",111,3,/university/26024-visvabharati-birbhum
3121,"West Bengal State University - [WBSU], Barasat"," Barasat, West Bengal",UGC Approved,#3122,B.Sc,--,825,3,/university/26025-west-bengal-state-university-wbsu-barasat
3122,"HLM Group of Institutions, Ghaziabad"," Ghaziabad, Uttar Pradesh","NCTE, AICTE, BCI Approved",#3123,B.Sc,"₹ 30,000",28,4,/college/27743-hlm-group-of-institutions-ghaziabad
3123,"Sri Sukhmani Group Of Institutions, Mohali"," Mohali, Punjab","DCI, AICTE, PCI, BCI Approved",#3124,B.Sc,"₹ 50,000",Null,Null,/college/27825-sri-sukhmani-group-of-institutions-mohali
3124,"Baba Mehar Singh Memorial Group of Institutes, Gurdaspur"," Gurdaspur, Punjab",AICTE Approved,#3125,B.Sc,"₹ 65,000",Null,Null,/college/27911-baba-mehar-singh-memorial-group-of-institutes-gurdaspur
3125,"KLR Group of Institutions, Kothagudem"," Kothagudem, Telangana",Null,#3126,B.Sc,--,Null,Null,/college/27935-klr-group-of-institutions-kothagudem
3126,"Bhagwan Mahavir Education Foundation - [BMEF], Surat"," Surat, Gujarat",AICTE Approved,#3127,B.Sc,"₹ 45,000",69,3,/college/27949-bhagwan-mahavir-education-foundation-bmef-surat
3127,"Vijaygarh Jyotish Ray college, Kolkata"," Kolkata, West Bengal",UGC Approved,#3128,B.Sc,"₹ 3,000",35,3,/college/28130-vijaygarh-jyotish-ray-college-kolkata
3128,"Dr IT Group of Institutes, Chandigarh"," Chandigarh, Chandigarh",AICTE Approved,#3129,B.Sc,"₹ 56,400",1,3,/college/28153-dr-it-group-of-institutes-chandigarh
3129,"Amrith Educational & Cultural Society - [AECS], Bangalore"," Bangalore, Karnataka",Null,#3130,B.Sc,--,Null,Null,/college/28168-amrith-educational-and-cultural-society-aecs-bangalore
3130,"Park's College, Tiruppur"," Tiruppur, Tamil Nadu","AICTE, UGC Approved",#3131,B.Sc,"₹ 41,400",7,4,/college/28196-parks-college-tiruppur
3131,"Dum Dum Motijheel  College, Kolkata"," Kolkata, West Bengal",UGC Approved,#3132,B.Sc,--,21,3,/college/28281-dum-dum-motijheel-college-kolkata
3132,"Jashbhai Maganbhai Patel College of Commerce, Mumbai"," Mumbai, Maharashtra",Null,#3133,B.Sc,"₹ 23,145",3,3,/college/28287-jashbhai-maganbhai-patel-college-of-commerce-mumbai
3133,"Gujarat Arts and Science College - [GASC], Ahmedabad"," Ahmedabad, Gujarat",Null,#3134,B.Sc,--,18,3,/college/28311-gujarat-arts-and-science-college-gasc-ahmedabad
3134,"Maulana Azad College, Aurangabad"," Aurangabad, Maharashtra",Null,#3135,B.Sc,--,16,4,/college/28313-maulana-azad-college-aurangabad
3135,"Nizam's Institute of Medical Sciences - [NIMS], Hyderabad"," Hyderabad, Telangana","MCI, UGC Approved",#3136,B.Sc,"₹ 46,250",34,4,/university/28321-nizams-institute-of-medical-sciences-nims-hyderabad
3136,"Sri Aurobindo College, New Delhi"," New Delhi, Delhi NCR",UGC Approved,#3137,B.Sc Life Sciences,"₹ 12,636",161,3,/college/28325-sri-aurobindo-college-new-delhi
3137,"Institute of Mass Communication and Media Technology - [IMCMT], Kurukshetra"," Kurukshetra, Haryana","AICTE, UGC Approved",#3138,B.Sc,"₹ 40,400",1,2,/college/28400-institute-of-mass-communication-and-media-technology-imcmt-kurukshetra
3138,"Chaitanya Institute of Science and Technology, Kakinada"," Kakinada, Andhra Pradesh",AICTE Approved,#3139,B.Sc,--,5,3,/college/28488-chaitanya-institute-of-science-and-technology-kakinada
3139,"Asian Academy of Film & Television- [AAFT], Noida"," Noida, Uttar Pradesh",Null,#3140,B.Sc,--,30,3,/college/28974-asian-academy-of-film-and-television-aaft-noida
3140,"Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go  Anusandhan Sansthan - [DUVASU], Mathura"," Mathura, Uttar Pradesh",Null,#3141,B.Sc,"₹ 32,790",6,3,/university/29003-pandit-deen-dayal-upadhyaya-pashu-chikitsa-vigyan-vishwavidyalaya-evam-go-anusandhan-sansthan-duvasu-mathura
3141,"A Radiant Institute of Management and Technology - [ARIMT], Meerut"," Meerut, Uttar Pradesh",AICTE Approved,#3142,B.Sc,--,Null,Null,/college/45001-a-radiant-institute-of-management-and-technology-arimt-meerut
3142,"Aditya Degree College, Kakinada"," Kakinada, Andhra Pradesh",AICTE Approved,#3143,B.Sc,"₹ 15,000",165,3,/college/45010-aditya-degree-college-kakinada
3143,"Chandmal Tarachand Bora Arts, Commerce & Science College Shirur, Pune"," Pune, Maharashtra",Null,#3144,B.Sc,--,5,4,/college/45056-chandmal-tarachand-bora-arts-commerce-and-science-college-shirur-pune
3144,"College of Science and Research, Udaipur"," Udaipur, Rajasthan",AICTE Approved,#3145,B.Sc,--,Null,Null,/college/45085-college-of-science-and-research-udaipur
3145,"Dr Sow Indirabai Bhaskarrao Pathak Mahila Mahavidyalaya, Aurangabad"," Aurangabad, Maharashtra",Null,#3146,B.Sc,"₹ 13,530",Null,Null,/college/45109-dr-sow-indirabai-bhaskarrao-pathak-mahila-mahavidyalaya-aurangabad
3146,"Indo Asian Women's Degree College, Bangalore"," Bangalore, Karnataka",UGC Approved,#3147,B.Sc,--,Null,Null,/college/45180-indo-asian-womens-degree-college-bangalore
3147,"Institute of Hospitality and Management - [IHM], Patiala"," Patiala, Punjab",Null,#3148,B.Sc,--,Null,Null,/college/45226-institute-of-hospitality-and-management-ihm-patiala
3148,"KL Mehta Dayanand College for Women, Faridabad"," Faridabad, Haryana",Null,#3149,B.Sc,"₹ 20,055",15,3,/college/45266-kl-mehta-dayanand-college-for-women-faridabad
3149,"Kailash Women's College, Salem"," Salem, Tamil Nadu",Null,#3150,B.Sc,"₹ 2,850",3,3,/college/45269-kailash-womens-college-salem
3150,"Mahendra Institute of Management and Technical Studies - [MIMTS], Khorda"," Khorda, Odisha",AICTE Approved,#3151,B.Sc,"₹ 22,000",1,3,/college/45298-mahendra-institute-of-management-and-technical-studies-mimts-khorda
3151,"Mumbai College of Arts Commerce and Science, Mumbai"," Mumbai, Maharashtra",Null,#3152,B.Sc,"₹ 27,000",3,3,/college/45367-mumbai-college-of-arts-commerce-and-science-mumbai
3152,"Muslim Arts College, Kanyakumari"," Kanyakumari, Tamil Nadu",Null,#3153,B.Sc,--,5,4,/college/45372-muslim-arts-college-kanyakumari
3153,"Netizens College of Information Technology and Professional Studies, Latur"," Latur, Maharashtra",Null,#3154,B.Sc,--,Null,Null,/college/45443-netizens-college-of-information-technology-and-professional-studies-latur
3154,"Oriental College of Commerce and Management, Mumbai"," Mumbai, Maharashtra",AICTE Approved,#3155,B.Sc,"₹ 93,000",10,3,/college/45491-oriental-college-of-commerce-and-management-mumbai
3155,"Smt. Allum Sumangalam Memorial Degree College for Women, Bellary"," Bellary, Karnataka",Null,#3156,B.Sc,"₹ 16,000",1,4,/college/45585-smt-allum-sumangalam-memorial-degree-college-for-women-bellary
3156,"Swami Vivekanand Government College - [SVGCG], Bilaspur"," Bilaspur, Himachal Pradesh",UGC Approved,#3157,B.Sc,"₹ 2,494",10,3,/college/45602-swami-vivekanand-government-college-svgcg-bilaspur
3157,"Varu Institute of Professional Studies - [VIPS], Lucknow"," Lucknow, Uttar Pradesh","NCTE, AICTE, PCI, INC Approved",#3158,B.Sc,--,Null,Null,/college/45615-varu-institute-of-professional-studies-vips-lucknow
3158,"Amity Institute of Biotechnology - [AIB], Noida"," Noida, Uttar Pradesh",AICTE Approved,#3159,B.Sc,"₹ 1,50,000",20,3,/college/45646-amity-institute-of-biotechnology-aib-noida
3159,"International Maritime Academy - [IMA], Chennai"," Chennai, Tamil Nadu",Null,#3160,B.Sc,"₹ 3,10,000",13,3,/college/45686-international-maritime-academy-ima-chennai
3160,"Vidyarthi Institute of Technology, Meerut"," Meerut, Uttar Pradesh",AICTE Approved,#3161,B.Sc,--,Null,Null,/college/45850-vidyarthi-institute-of-technology-meerut
3161,"Annasaheb Waghire College of Science, Arts & Commerce Otur, Pune"," Pune, Maharashtra","AICTE, UGC Approved",#3162,B.Sc,--,2,4,/college/45949-annasaheb-waghire-college-of-science-arts-and-commerce-otur-pune
3162,"Arulmigu Palaniandavar Arts College for Women - [APAC], Dindigul"," Dindigul, Tamil Nadu",Null,#3163,B.Sc,"₹ 12,547",5,3,/college/45951-arulmigu-palaniandavar-arts-college-for-women-apac-dindigul
3163,"Aswathalah Esthuri Sanjeevamma National Degree College - [AESNDC], Chikkaballapur"," Chikkaballapur, Karnataka",Null,#3164,B.Sc,--,2,3,/college/45952-aswathalah-esthuri-sanjeevamma-national-degree-college-aesndc-chikkaballapur
3164,"BN Post Graduate Girl's College, Udaipur"," Udaipur, Rajasthan",UGC Approved,#3165,B.Sc,--,18,3,/college/45954-bn-post-graduate-girls-college-udaipur
3165,"BPHE Society's Ahmednagar College, Ahmednagar"," Ahmednagar, Maharashtra",Null,#3166,B.Sc,"₹ 28,775",34,4,/college/45955-bphe-societys-ahmednagar-college-ahmednagar
3166,"Bhupal Nobles Girl's College, Udaipur"," Udaipur, Rajasthan",BCI Approved,#3167,B.Sc,--,1,4,/college/45969-bhupal-nobles-girls-college-udaipur
3167,"Chhotabhai JaverBhai Patel Arts and Commerce College, Gondiya"," Gondiya, Maharashtra",Null,#3168,B.Sc,"₹ 3,075",2,3,/college/45976-chhotabhai-javerbhai-patel-arts-and-commerce-college-gondiya
3168,"Dr. Babasaheb Ambedkar College of Arts,Commerce & Science - [DBACB], Chandrapur"," Chandrapur, Maharashtra",UGC Approved,#3169,B.Sc,"₹ 3,150",Null,Null,/college/45986-dr-babasaheb-ambedkar-college-of-artscommerce-and-science-dbacb-chandrapur
3169,"Government College Dera Bassi, Mohali"," Mohali, Punjab",UGC Approved,#3170,B.Sc,"₹ 10,380",2,2,/college/45999-government-college-dera-bassi-mohali
3170,"Government Girls College, Katni"," Katni, Madhya Pradesh",Null,#3171,B.Sc,--,Null,Null,/college/46006-government-girls-college-katni
3171,"Indian Statistical Institute - [ISI], Mumbai"," Mumbai, Maharashtra",UGC Approved,#3172,B.Sc,"₹ 12,000",1,3,/college/46015-indian-statistical-institute-isi-mumbai
3172,"Indian Statistical Institute - [ISI], Pune"," Pune, Maharashtra",AICTE Approved,#3173,B.Sc,--,1,4,/college/46016-indian-statistical-institute-isi-pune
3173,"Indian Statistical Institute - [ISI], Coimbatore"," Coimbatore, Tamil Nadu",AICTE Approved,#3174,B.Sc,--,Null,Null,/college/46017-indian-statistical-institute-isi-coimbatore
3174,"Indian Statistical Institute, Giridih"," Giridih, Jharkhand",AICTE Approved,#3175,B.Sc,"₹ 60,000",Null,Null,/college/46018-indian-statistical-institute-giridih
3175,"Indo Asian Academy Evening College, Bangalore"," Bangalore, Karnataka",Null,#3176,B.Sc,--,Null,Null,/college/46020-indo-asian-academy-evening-college-bangalore
3176,"Jayaraj Annapackiam College for Women, Theni"," Theni, Tamil Nadu",Null,#3177,B.Sc,"₹ 7,600",2,4,/college/46026-jayaraj-annapackiam-college-for-women-theni
3177,"KV Pendharkar College of Arts Science and Commerce, Thane"," Thane, Maharashtra",UGC Approved,#3178,B.Sc,--,39,3,/college/46028-kv-pendharkar-college-of-arts-science-and-commerce-thane
3178,"MV Muthiah Government Arts College for Women, Dindigul"," Dindigul, Tamil Nadu",Null,#3179,B.Sc,--,7,4,/college/46037-mv-muthiah-government-arts-college-for-women-dindigul
3179,"Mahatma Gandhi Mahavidyalaya, Latur"," Latur, Maharashtra",UGC Approved,#3180,B.Sc,--,2,3,/college/46047-mahatma-gandhi-mahavidyalaya-latur
3180,"Manoharbhai Patel Post Graduate College of Art Commerce and Science, Bhandara"," Bhandara, Maharashtra",Null,#3181,B.Sc,--,Null,Null,/college/46051-manoharbhai-patel-post-graduate-college-of-art-commerce-and-science-bhandara
3181,"Mar Thoma College for Women Perumbavoor, Ernakulam"," Ernakulam, Kerala",Null,#3182,B.Sc,--,6,4,/college/46052-mar-thoma-college-for-women-perumbavoor-ernakulam
3182,"Maulana Azad Degree College, Siddharthnagar"," Siddharthnagar, Uttar Pradesh",NCTE Approved,#3183,B.Sc,--,Null,Null,/college/46054-maulana-azad-degree-college-siddharthnagar
3183,"Model Arts Commerce and Science College, Jalgaon"," Jalgaon, Maharashtra",Null,#3184,B.Sc,--,Null,Null,/college/46058-model-arts-commerce-and-science-college-jalgaon
3184,"The National Degree College, Bangalore"," Bangalore, Karnataka",UGC Approved,#3185,B.Sc,"₹ 11,000",10,3,/college/46062-the-national-degree-college-bangalore
3185,"Saraswati Shikshan Sadan PG College, Ganganagar"," Ganganagar, Rajasthan",Null,#3186,B.Sc,"₹ 18,000",Null,Null,/college/46083-saraswati-shikshan-sadan-pg-college-ganganagar
3186,"SauRajnitai Nanasaheb Deshmukh College - [SRNDC], Jalgaon"," Jalgaon, Maharashtra",UGC Approved,#3187,B.Sc,--,Null,Null,/college/46084-saurajnitai-nanasaheb-deshmukh-college-srndc-jalgaon
3187,"Shikshan Maharshi Dadasaheb Limaye College - [SMDL], Navi Mumbai"," Navi Mumbai, Maharashtra",Null,#3188,B.Sc,--,1,3,/college/46087-shikshan-maharshi-dadasaheb-limaye-college-smdl-navi-mumbai
3188,"Shree Jayendrapuri Arts and Science College, Bharuch"," Bharuch, Gujarat",AICTE Approved,#3189,B.Sc,--,9,4,/college/46088-shree-jayendrapuri-arts-and-science-college-bharuch
3189,"Shri Shivaji College, Parbhani"," Parbhani, Maharashtra",UGC Approved,#3190,B.Sc,"₹ 2,410",8,3,/college/46093-shri-shivaji-college-parbhani
3190,"Shri Siddheshwar Mahavidyalaya, Beed"," Beed, Maharashtra",Null,#3191,B.Sc,"₹ 3,785",Null,Null,/college/46095-shri-siddheshwar-mahavidyalaya-beed
3191,"Smt Veeramma Gangasiri College for Women, Gulbarga"," Gulbarga, Karnataka",Null,#3192,B.Sc,--,8,3,/college/46101-smt-veeramma-gangasiri-college-for-women-gulbarga
3192,"Vikas College of Arts Science and Commerce, Mumbai"," Mumbai, Maharashtra",Null,#3193,B.Sc,"₹ 13,905",12,3,/college/46122-vikas-college-of-arts-science-and-commerce-mumbai
3193,"Akbar Peerbhoy College of Commerce and Economics, Mumbai"," Mumbai, Maharashtra",Null,#3194,B.Sc,"₹ 24,615",11,4,/college/46129-akbar-peerbhoy-college-of-commerce-and-economics-mumbai
3194,"B. P. Marine Academy, Raigad"," Raigad, Maharashtra",Null,#3195,B.Sc,"₹ 2,00,000",3,4,/college/46133-b-p-marine-academy-raigad
3195,"Dhanaji Nana Chaudhari Vidya Prabodhini's Arts and Science College, Jalgaon"," Jalgaon, Maharashtra",UGC Approved,#3196,B.Sc,--,Null,Null,/college/46138-dhanaji-nana-chaudhari-vidya-prabodhinis-arts-and-science-college-jalgaon
3196,"Dnyandeep College Commerce and Science, Ratnagiri"," Ratnagiri, Maharashtra",Null,#3197,B.Sc,--,Null,Null,/college/46139-dnyandeep-college-commerce-and-science-ratnagiri
3197,"NIE First Grade College, Mysore"," Mysore, Karnataka",Null,#3198,B.Sc,--,75,4,/college/46149-nie-first-grade-college-mysore
3198,"Pravara Rural Education Society's Women's College of Home Science and BCA, Ahmednagar"," Ahmednagar, Maharashtra",UGC Approved,#3199,B.Sc,--,Null,Null,/college/46150-pravara-rural-education-societys-womens-college-of-home-science-and-bca-ahmednagar
3199,"VS Mehta College of Science (Bhavan's Mehta Mahavidyalaya), Ghaziabad"," Ghaziabad, Uttar Pradesh",Null,#3200,B.Sc,"₹ 3,665",Null,Null,/college/46156-vs-mehta-college-of-science-bhavans-mehta-mahavidyalaya-ghaziabad
3200,"APS College of Commerce, Arts and Science, Bangalore"," Bangalore, Karnataka",Null,#3201,B.Sc,--,4,3,/college/47277-aps-college-of-commerce-arts-and-science-bangalore
3201,"St Mary's College of Commerce and Management Studies Thuruthiply, Ernakulam"," Ernakulam, Kerala",UGC Approved,#3202,B.Sc,--,8,3,/college/47293-st-marys-college-of-commerce-and-management-studies-thuruthiply-ernakulam
3202,"Tolani College of Commerce - [TCC], Mumbai"," Mumbai, Maharashtra",Null,#3203,B.Sc,"₹ 24,360",42,3,/college/47302-tolani-college-of-commerce-tcc-mumbai
3203,"Padmashree Institute of Management and Sciences - [PIMS], Bangalore"," Bangalore, Karnataka",AICTE Approved,#3204,B.Sc,"₹ 60,000",7,4,/college/54812-padmashree-institute-of-management-and-sciences-pims-bangalore
3204,"Arunachal University of Studies - [AUS], Lohit"," Lohit, Arunachal Pradesh",UGC Approved,#3205,B.Sc,"₹ 43,000",37,3,/university/54826-arunachal-university-of-studies-aus-lohit
3205,"Mother Teresa Women's University, Dindigul"," Dindigul, Tamil Nadu",Null,#3206,B.Sc,"₹ 7,600",52,3,/university/54841-mother-teresa-womens-university-dindigul
3206,"Cotton University, Guwahati"," Guwahati, Assam","UGC, MHRD Approved",#3207,B.Sc,"₹ 7,750",126,3,/university/54850-cotton-university-guwahati
3207,"Rajiv Gandhi University of Health Sciences - [RGUHS], Bangalore"," Bangalore, Karnataka","MCI, UGC Approved",#3208,B.Sc,--,1795,3,/university/54857-rajiv-gandhi-university-of-health-sciences-rguhs-bangalore
3208,"Uttarakhand University of Horticulture & Forestry - [UUHF], Pauri"," Pauri, Uttarakhand",UGC Approved,#3209,B.Sc,"₹ 39,980",7,3,/university/54860-uttarakhand-university-of-horticulture-and-forestry-uuhf-pauri
